Admit,Deposit,Enroll,F,Ethnicity,Region Description,Age,ACT Category Description,College,Major,Convert_GPA_Fix,FIN_AID_INTEREST
TRUE,TRUE,TRUE,F,White,Out of State,18,20-23,Science and Health,Psychology,4,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Commerce,Business Administration,3.425,Y
TRUE,FALSE,FALSE,F,White,Out of State,17,Unknown,Science and Health,Environmental Studies,4.2,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,20-23,Commerce,Economics,4.44,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,English,2.71,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Communication,UGRD Undeclared Communication,3.667,Y
FALSE,FALSE,FALSE,F,Multiracial,Out of State,18,Unknown,Education,UGRD Undeclared Education,3.393,Y
TRUE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Commerce,Real Estate,3.178,N
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Commerce,Business Administration,3.666,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far North,18,Unknown,Music,Music Performance,,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Science and Health,Health Sciences,2.118,Y
TRUE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Science and Health,Biological Sciences,3.23,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Communication,Communication and Media,3.76,Y
TRUE,FALSE,FALSE,F,Black,Suburban Southwest,18,28-32,Science and Health,Biological Sciences,3.38,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,19,Unknown,Commerce,Marketing,3.4,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Communication,Media and Cinema Studies,3.06,N
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,Unknown,Education,Elementary Education,,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Education,UGRD Undeclared Education,3.323,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Music,Performing Arts Mgmt,3.64,N
TRUE,FALSE,FALSE,F,International,Chicago Far South,18,16-19,Science and Health,Biological Sciences,3.802,Y
FALSE,FALSE,FALSE,F,Not Applicable,Suburban West,18,24-27,Music,Music Performance,3.073,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,20-23,Communication,Public Relations/Advertisin,2.138,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,19,24-27,Communication,UGRD Undeclared Communication,3.667,N
TRUE,FALSE,FALSE,F,Black,Out of State,18,24-27,Science and Health,Psychology,3.736,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Computer Science,Animation,,N
TRUE,TRUE,TRUE,F,Hispanic,Out of State,18,20-23,Computer Science,Digital Cinema,3.688,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Liberal Arts & Social Sciences,English,3.8,Y
TRUE,TRUE,TRUE,F,White,Suburban South,18,24-27,Computer Science,Computer Science,4,N
TRUE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.6,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Southwest,18,24-27,Commerce,UGRD Undeclared Business,2.225,Y
TRUE,TRUE,TRUE,F,White,Northwest Indiana,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.251,N
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Science and Health,Environmental Studies,2.545,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.93,N
FALSE,FALSE,FALSE,F,White,Chicago Far South,18,24-27,Theatre,Acting,3.284,Y
TRUE,FALSE,FALSE,F,International,Chicago North,19,24-27,Science and Health,Psychology,3.1,N
TRUE,FALSE,FALSE,F,White,Suburban West,18,20-23,Science and Health,UGRD Undeclared CSH,3.671,N
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,20-23,Communication,Communication and Media,3.41,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.891,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far North,18,Unknown,Liberal Arts & Social Sciences,Religious Studies,3.616,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Science and Health,Health Sciences,4.286,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.52,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Communication,Journalism,2.801,Y
TRUE,FALSE,FALSE,F,Black,Chicago Central,18,20-23,Science and Health,UGRD Undeclared CSH,3.767,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,16-19,Commerce,Business Administration,3.883,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far North,18,20-23,Computer Science,Comp Graphics & Motion Tech,,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.568,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,17,0-15,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.027,Y
FALSE,FALSE,FALSE,F,Black,Out of State,18,16-19,Science and Health,Biological Sciences,2.438,Y
FALSE,FALSE,FALSE,F,White,Suburban North,18,20-23,Communication,Journalism,3.337,Y
TRUE,FALSE,FALSE,F,White,Suburban South,18,20-23,Liberal Arts & Social Sciences,History,3.714,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago Central,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.098,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban West,18,28-32,Science and Health,Biological Sciences,4.36,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban North,18,0-15,Commerce,UGRD Undeclared Business,,Y
FALSE,FALSE,FALSE,F,Multiracial,Chicago Far South,19,Unknown,Liberal Arts & Social Sciences,Anthropology,2.51,Y
FALSE,FALSE,FALSE,F,White,Suburban West,18,24-27,Communication,UGRD Undeclared Communication,3.25,N
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,24-27,Science and Health,Health Sciences,3.786,Y
FALSE,FALSE,FALSE,F,White,Chicago North,18,Unknown,Commerce,Management,,Y
TRUE,FALSE,FALSE,F,Black,Suburban South,18,24-27,Computer Science,Math/Computer Studies,3.333,Y
FALSE,FALSE,FALSE,F,Black,Chicago Far South,18,16-19,Computer Science,Digital Cinema,2.68,Y
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,28-32,Communication,Journalism,3.814,Y
FALSE,FALSE,FALSE,F,White,Suburban Southwest,18,20-23,Theatre,Lighting Design,3.551,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,20-23,Commerce,Accountancy,2.608,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Liberal Arts & Social Sciences,Art & Art History,2.935,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Science and Health,Health Sciences,3.826,Y
FALSE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Science and Health,Psychology,2,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Theatre,Acting,,Y
TRUE,TRUE,TRUE,F,Hispanic,Out of State,19,Unknown,Communication,Media and Cinema Studies,3.5,N
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,Political Science,3.254,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Theatre,Acting,4.199,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Liberal Arts & Social Sciences,History,3.488,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Commerce,Accountancy,3.851,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.12,N
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Education,Pre-Physical Education,,Y
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Communication,Communication Studies,3.051,N
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,20-23,Theatre,Acting,3.55,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,Unknown,Computer Science,Computer Game Development,3.01,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Computer Science,Digital Cinema,3.42,N
TRUE,TRUE,FALSE,F,White,Out of State,18,28-32,Commerce,Business Administration,3.535,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Science and Health,Biological Sciences,3.343,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.79,N
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Commerce,Business Administration,2.68,N
TRUE,TRUE,TRUE,F,Black,Out of State,18,Unknown,Communication,Journalism,3.757,Y
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,17,Unknown,Liberal Arts & Social Sciences,History,2.974,N
TRUE,FALSE,FALSE,F,Black,Out of State,18,16-19,Commerce,Accountancy,3.14,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,28-32,Theatre,Acting,4.3,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,UGRD Undeclared Business,3.293,N
FALSE,FALSE,FALSE,F,Black,Out of State,17,Unknown,Science and Health,Psychology,,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Science and Health,Health Sciences,3.875,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Theatre,Theatre Arts,,N
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,24-27,Science and Health,UGRD Undeclared CSH,4.585,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,33-36,Music,Music Education,3.856,N
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Communication,Communication Studies,,N
TRUE,FALSE,FALSE,F,Black,International,18,16-19,Communication,Journalism,3,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago South,17,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.501,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.895,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.48,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,Hospitality Leadership,2.8,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Education,Pre-Secondary Education Englis,0,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Communication,Communication Studies,3.926,N
TRUE,FALSE,FALSE,F,Hispanic,Suburban West,19,24-27,Science and Health,Psychology,3.981,Y
TRUE,TRUE,FALSE,F,Hispanic,Suburban West,18,20-23,Science and Health,UGRD Undeclared CSH,3.7,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.795,N
TRUE,FALSE,FALSE,F,White,Suburban West,18,28-32,Communication,Journalism,3.814,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Science and Health,Biological Sciences,,N
TRUE,TRUE,TRUE,F,Hispanic,Suburban Southwest,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.288,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.63,Y
TRUE,FALSE,FALSE,F,Multiracial,Out of State,19,24-27,Communication,Public Relations/Advertisin,3.542,Y
TRUE,TRUE,TRUE,F,White,Chicago Central,19,20-23,Computer Science,Computer Science,4.093,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago South,18,24-27,Liberal Arts & Social Sciences,English,2.5,Y
TRUE,FALSE,FALSE,F,White,Out of State,17,24-27,Liberal Arts & Social Sciences,Peace Justice Conflict St,3.171,N
FALSE,FALSE,FALSE,F,Not Applicable,Chicago Far South,18,Unknown,Science and Health,Psychology,,N
TRUE,TRUE,TRUE,F,White,Out of State,18,28-32,Commerce,Finance,3.112,N
TRUE,TRUE,TRUE,F,White,Out of State,18,Unknown,Music,Music Education,3.36,Y
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.76,N
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Education,UGRD Undeclared Education,3.712,N
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Liberal Arts & Social Sciences,International Studies,3.77,Y
TRUE,FALSE,FALSE,F,White,Northwest Indiana,18,28-32,Science and Health,Mathematics,4.302,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Science and Health,Biological Sciences,4.16,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,Unknown,Science and Health,Mathematics,3.93,Y
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.318,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Science and Health,Psychology,3.85,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,18,Unknown,Science and Health,Psychology,3.695,Y
FALSE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Communication,Public Relations/Advertisin,2.35,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,International Studies,3.4,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Communication,Communication and Media,2.881,Y
TRUE,FALSE,FALSE,F,Hispanic,Other Illinois,18,20-23,Communication,Communication and Media,3.888,Y
FALSE,FALSE,FALSE,F,Not Applicable,Chicago Far South,18,Unknown,Science and Health,Health Sciences,,N
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,18,Unknown,Science and Health,Biological Sciences,3.7,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Communication,Journalism,3.786,Y
FALSE,FALSE,FALSE,F,Multiracial,Suburban Northwest,18,Unknown,Commerce,UGRD Undeclared Business,2.968,Y
TRUE,TRUE,FALSE,F,White,Suburban Northwest,19,24-27,Liberal Arts & Social Sciences,History,3.656,Y
TRUE,TRUE,FALSE,F,Not Applicable,Out of State,18,20-23,Science and Health,Chemistry,4.056,Y
TRUE,TRUE,TRUE,F,White,Suburban West,18,24-27,Commerce,E-Business,2.9,Y
TRUE,TRUE,TRUE,F,Black,Out of State,18,Unknown,Science and Health,Biological Sciences,3.584,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Commerce,UGRD Undeclared Business,3.651,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Science and Health,Biological Sciences,4.098,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,24-27,Commerce,Accountancy,3.6,N
TRUE,TRUE,TRUE,F,White,Chicago North,18,24-27,Science and Health,Biological Sciences,3.996,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Commerce,Management,2.88,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.861,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,19,Unknown,Computer Science,Computer Science,4.395,N
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.94,Y
TRUE,TRUE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,Political Science,4.35,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,Unknown,Education,Elementary Education,3.58,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,24-27,Commerce,Finance,3.8,Y
TRUE,TRUE,FALSE,F,White,Out of State,17,Unknown,Communication,UGRD Undeclared Communication,3.542,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,18,24-27,Science and Health,Health Sciences,3.216,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,28-32,Commerce,Management,3.662,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.652,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Computer Science,Digital Cinema,3.815,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban Northwest,18,24-27,Commerce,UGRD Undeclared Business,3.493,Y
TRUE,FALSE,FALSE,F,White,Suburban South,18,20-23,Science and Health,UGRD Undeclared CSH,2.65,N
FALSE,FALSE,FALSE,F,Black,Chicago Central,19,0-15,Education,Pre-Secondary Education Biolog,3,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.811,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,20-23,Science and Health,Health Sciences,2.333,Y
TRUE,TRUE,TRUE,F,White,Suburban Northwest,18,24-27,Commerce,Marketing,2.22,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far South,18,16-19,Liberal Arts & Social Sciences,Sociology,3.857,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,18,Unknown,Science and Health,Psychology,3.36,Y
TRUE,FALSE,FALSE,F,International,International,18,Unknown,Science and Health,Biological Sciences,3.9,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,20-23,Liberal Arts & Social Sciences,Spanish,2.56,N
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Out of State,18,20-23,Commerce,Marketing,3.19,N
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Science and Health,UGRD Undeclared CSH,2.906,Y
TRUE,FALSE,FALSE,F,Hispanic,Out of State,18,20-23,Commerce,UGRD Undeclared Business,3.37,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,Unknown,Liberal Arts & Social Sciences,History,3,N
TRUE,FALSE,FALSE,F,Black,Suburban South,18,24-27,Science and Health,Biological Sciences,3.757,Y
TRUE,TRUE,TRUE,F,Asian/Pacific Islander,Suburban Southwest,18,24-27,Commerce,UGRD Undeclared Business,3.589,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,20-23,Theatre,Acting,3.368,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,Marketing,3.252,Y
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,20-23,Commerce,UGRD Undeclared Business,2.65,Y
TRUE,FALSE,FALSE,F,International,Suburban Northwest,19,24-27,Science and Health,UGRD Undeclared CSH,4.175,Y
FALSE,FALSE,FALSE,F,White,Out of State,19,Unknown,Science and Health,Physics,3.086,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.953,Y
FALSE,FALSE,FALSE,F,White,Out of State,17,Unknown,Commerce,Marketing,3.155,Y
FALSE,FALSE,FALSE,F,White,Chicago North,18,20-23,Science and Health,Psychology,2.66,Y
TRUE,TRUE,TRUE,F,White,Out of State,18,24-27,Science and Health,Biological Sciences,3.615,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Out of State,18,Unknown,Computer Science,Information Systems,3.68,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,19,Unknown,Science and Health,Health Sciences,0,N
TRUE,FALSE,FALSE,F,International,International,17,Unknown,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.45,N
FALSE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Education,Pre-Secondary Ed Visual Art,2.465,Y
FALSE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Communication,Journalism,,N
FALSE,FALSE,FALSE,F,Black,Out of State,18,Unknown,Commerce,Marketing,,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago North,18,16-19,Commerce,Marketing,3.82,Y
FALSE,FALSE,FALSE,F,Black,Suburban Southwest,18,16-19,Science and Health,Health Sciences,2.666,Y
FALSE,FALSE,FALSE,F,Not Applicable,Suburban West,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.628,Y
FALSE,FALSE,FALSE,F,White,Suburban North,18,20-23,Science and Health,Psychology,2.686,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,28-32,Commerce,Accountancy,4.134,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban Southwest,18,Unknown,Commerce,Management,3,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban North,18,16-19,Commerce,Accountancy,3.33,Y
TRUE,TRUE,TRUE,F,Hispanic,Suburban North,18,28-32,Communication,Communication and Media,3.286,Y
FALSE,FALSE,FALSE,F,Hispanic,Other Illinois,18,20-23,Liberal Arts & Social Sciences,Art & Art History,2.305,Y
TRUE,FALSE,FALSE,F,White,Suburban West,18,24-27,Education,Pre-Early Childhood Education,3.408,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Southwest,18,Unknown,Commerce,Accountancy,,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Communication,UGRD Undeclared Communication,3.928,Y
TRUE,FALSE,FALSE,F,White,Chicago South,18,28-32,Science and Health,UGRD Undeclared CSH,4.095,Y
FALSE,FALSE,FALSE,F,Asian/Pacific Islander,Chicago South,18,Unknown,Science and Health,Health Sciences,4.317,Y
FALSE,FALSE,FALSE,F,Black,Out of State,18,16-19,Communication,UGRD Undeclared Communication,3.34,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,Accountancy,3.65,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.465,Y
FALSE,FALSE,FALSE,F,Black,Chicago South,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.868,Y
TRUE,FALSE,FALSE,F,White,Chicago South,18,20-23,Education,UGRD Undeclared Education,3.257,Y
TRUE,TRUE,TRUE,F,Black,Chicago Far South,18,16-19,Commerce,Business Administration,3.59,Y
FALSE,FALSE,FALSE,F,Hispanic,Chicago Far South,19,Unknown,Education,Secondary Environmental Sc,,Y
FALSE,FALSE,FALSE,F,White,Suburban Northwest,18,Unknown,Education,Elementary Education,,Y
TRUE,FALSE,FALSE,F,White,Out of State,17,20-23,Computer Science,Digital Cinema,3.2,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Education,Pre-Secondary Education Histor,4.227,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,28-32,Commerce,Business Administration,2.98,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Theatre,Acting,3.727,Y
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,28-32,Commerce,UGRD Undeclared Business,4.073,Y
TRUE,TRUE,TRUE,F,White,Out of State,19,24-27,Liberal Arts & Social Sciences,International Studies,3.7,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Science and Health,Psychology,3.28,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban South,18,Unknown,Science and Health,Biological Sciences,3.102,Y
TRUE,TRUE,TRUE,F,Hispanic,Chicago North,18,0-15,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.423,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Science and Health,Psychology,3.26,N
FALSE,FALSE,FALSE,F,White,Out of State,18,20-23,Music,Music Education,,N
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Communication,UGRD Undeclared Communication,3.25,Y
TRUE,FALSE,FALSE,F,Not Applicable,Out of State,18,Unknown,Liberal Arts & Social Sciences,International Studies,3.419,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Science and Health,Health Sciences,3.56,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,18,Unknown,Education,Pre-Secondary Education Englis,3.462,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,Finance,4.25,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Theatre,Costume Design,3.56,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,Political Science,3.241,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Liberal Arts & Social Sciences,Major in Writing Rhetoric Disc,3.3,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,20-23,Commerce,Marketing,3.403,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Science and Health,Psychology,3.309,Y
TRUE,FALSE,FALSE,F,White,Out of State,18,24-27,Communication,Journalism,3.19,N
TRUE,FALSE,FALSE,F,White,Out of State,18,Unknown,Commerce,Business Administration,2.915,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban North,18,20-23,Science and Health,Health Sciences,3.919,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,20-23,Music,Music Performance,2.957,Y
TRUE,FALSE,FALSE,F,Multiracial,Out of State,18,Unknown,Theatre,Theatre Arts,4.08,Y
TRUE,TRUE,TRUE,F,Black,Out of State,18,Unknown,Communication,Journalism,3.43,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,Unknown,Liberal Arts & Social Sciences,Peace Justice Conflict St,3.629,Y
FALSE,FALSE,FALSE,F,White,Out of State,18,Unknown,Liberal Arts & Social Sciences,International Studies,,N
TRUE,TRUE,TRUE,F,Hispanic,Out of State,18,Unknown,Science and Health,Biological Sciences,3.047,Y
TRUE,FALSE,FALSE,F,Hispanic,Other Illinois,18,24-27,Science and Health,Biological Sciences,3.28,Y
TRUE,TRUE,TRUE,F,Multiracial,Out of State,18,20-23,Liberal Arts & Social Sciences,UGRD Undeclared TBD,4.54,Y
TRUE,FALSE,FALSE,F,White,Suburban Northwest,18,28-32,Commerce,UGRD Undeclared Business,4.105,Y
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,24-27,Liberal Arts & Social Sciences,History,3.51,Y
TRUE,FALSE,FALSE,F,White,Suburban North,18,20-23,Science and Health,UGRD Undeclared CSH,3.797,Y
TRUE,FALSE,FALSE,F,White,Suburban South,18,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,3.75,Y
FALSE,FALSE,FALSE,F,Hispanic,Suburban South,18,Unknown,Commerce,E-Business,,Y
FALSE,FALSE,FALSE,F,White,Suburban West,18,Unknown,Commerce,Finance,2.97,Y
TRUE,FALSE,FALSE,F,International,Suburban West,18,24-27,Science and Health,UGRD Undeclared CSH,4.129,Y
FALSE,FALSE,FALSE,F,Hispanic,Out of State,18,Unknown,Science and Health,Biological Sciences,3.381,Y
FALSE,FALSE,FALSE,F,International,International,18,Unknown,Commerce,Business Administration,3.26,N
FALSE,FALSE,FALSE,F,Not Applicable,Suburban South,18,Unknown,Science and Health,Health Sciences,,N
TRUE,FALSE,FALSE,F,White,Suburban Southwest,18,33-36,Science and Health,Physics,4.612,Y
FALSE,FALSE,FALSE,F,Multiracial,Out of State,18,Unknown,Communication,Media and Cinema Studies,2.6,Y
TRUE,FALSE,FALSE,F,White,Out of State,19,24-27,Liberal Arts & Social Sciences,UGRD Undeclared TBD,2.33,Y
TRUE,FALSE,FALSE,F,Hispanic,Chicago North,18,20-23,Science and Health,UGRD Undeclared CSH,4.071,Y
TRUE,FALSE,FALSE,F,Asian/Pacific Islander,Suburban Southwest,18,24-27,Commerce,UGRD Undeclared Business,3.512,Y
TRUE,TRUE,TRUE,F,White,Suburban West,19,24-27,Commerce,Management,3.611,Y
TRUE,FALSE,FALSE,F,Hispanic,Suburban West,19,24-27,Liberal Arts & Social Sciences,Major in Writing Rhetoric Disc,3.765,Y
